timestamp,data
0,970.345
1,912.1755
2,900.2688
3,889.9538
4,893.6865
5,879.2323
6,932.4876
7,1048.972
8,1167.9074
9,1257.5069
10,1254.583
11,1216.9004
12,1202.1556
13,1197.2616
14,1169.0034
15,1136.7054
16,1101.9447
17,1107.0406
18,1142.1548
19,1097.2334
20,1074.6544
21,1041.3244
22,999.6339999999999
23,968.0526
24,944.0556
25,928.7193
26,909.5566
27,894.6543
28,884.6659
29,862.9888
30,871.6873
31,912.4966
32,969.8017
33,1019.3105
34,1059.7497
35,1069.7854
36,1087.2858
37,1087.1689
38,1075.3804
39,1056.4102
40,1033.7229
41,1101.5439
42,1137.1754
43,1133.2082
44,1102.3695
45,1072.5808
46,1012.596
47,958.6209
48,928.5338
49,901.5402
50,887.7822
51,881.0019
52,885.4197
53,902.0863
54,1037.157
55,1191.9135
56,1319.8159
57,1383.0651
58,1415.1816
59,1398.8659
60,1430.5514
61,1413.9896
62,1378.7528
63,1292.2593
64,1178.1032
65,1188.0149
66,1207.7648
67,1156.6583
68,1114.1973
69,1066.7578
70,1002.3568
71,931.5394
72,914.6895
73,890.8448
74,869.0447
75,852.4821
76,891.2575
77,895.6612
78,1006.3031
79,540.1625831425348
80,1311.9373
81,1384.2441
82,1401.9173
83,1415.6382
84,1437.47
85,1430.0527
86,1383.4537
87,1325.2060000000001
88,1166.9817
89,1163.0865
90,1197.1559
91,1155.743
92,1116.5382
93,1086.2051
94,1030.0292
95,979.6728
96,940.4568
97,908.5931
98,886.4675
99,876.4283
100,892.4143
101,907.9188
102,1010.5448
103,1164.6559
104,1293.9383
105,1366.6676
106,1390.9173
107,1383.5812
108,1407.7425
109,1408.6819
110,1362.4042
111,1286.8121
112,1179.9351
113,1182.7732
114,1206.2524
115,1143.2591
116,1138.631
117,1095.4537
118,1044.1697
119,985.8912
120,962.4068
121,928.1036
122,917.9997
123,910.9537
124,928.7239999999999
125,931.4314
126,1033.7357
127,1186.5044
128,1275.112
129,1348.951
130,1365.6284
131,1343.4717
132,1371.5959
133,1383.9909
134,1333.5524
135,1255.568
136,1142.0101
137,1188.5847
138,1172.1282
139,1136.7167
140,1111.7702
141,1069.2922
142,1017.9603
143,977.2739
144,943.6081
145,917.064
146,895.9092
147,885.2719999999997
148,884.8111
149,866.5622
150,883.0248
151,953.57
152,1006.9689
153,1058.0176
154,1088.0395
155,1080.8465
156,1073.435
157,1075.0293
158,1059.6223
159,1026.1627
160,997.3978
161,1054.8104
162,1105.863
163,1085.7856
164,1061.3146
165,1033.8639
166,989.8507
167,949.5031
168,906.9580000000001
169,863.5135
170,848.4447
171,839.8821
172,847.1073
173,848.4718
174,897.8229
175,1021.672
176,1108.9439
177,1165.4756
178,1179.063
179,1173.0899
180,1161.4116
181,1133.3133
182,1100.6097
183,1082.6875
184,1051.4135
185,1088.8689
186,1144.2722
187,1102.2466
188,1064.151
189,1030.4566
190,979.5945
191,956.5766
192,924.2795
193,887.4576
194,858.9606
195,847.4881
196,842.7522
197,807.4211
198,813.1819
199,873.801
200,935.3192
201,1009.0054
202,1070.3791
203,1070.603
204,1073.1479
205,1064.0288
206,1060.6283
207,1030.8882
208,1015.4938
209,1073.743
210,1113.4443
211,1122.2487
212,1095.6601
213,1046.8138
214,1010.9126
215,968.9371
216,941.5469
217,898.3399
218,881.8438
219,870.5737
220,876.8468
221,903.8017
222,1018.3418
223,1228.567
224,1317.0702
225,1413.0273
226,1452.004
227,1439.2499
228,1468.9201
229,1466.2352
230,1420.9684
231,1352.0557
232,1218.532
233,1214.6585
234,1247.0384
235,1196.3554
236,1179.6993
237,1113.0861
238,1069.6154
239,1008.6023
240,963.507
241,932.9905
242,914.5482
243,890.0387
244,898.9312
245,938.52
246,1032.0544
247,1231.2967
248,1342.1865
249,1400.6246
250,1418.5336
251,1399.3289
252,1431.8609
253,1434.055
254,1410.4219
255,1343.8872
256,1226.8784
257,1230.8641
258,1245.7079
259,1208.0527
260,1174.6285
261,1114.6625
262,1064.1879
263,1002.2639999999999
264,978.6654
265,961.1263
266,949.9135
267,941.1751
268,947.0861
269,978.1018
270,1057.7492
271,1241.2153
272,1344.3622
273,1398.4079
274,1430.8634
275,1425.2537
276,1452.8792
277,1453.3303
278,1407.6635
279,1344.7520000000004
280,1246.3577
281,1241.1589999999999
282,1266.2798
283,1239.0832
284,1198.7594
285,1147.5305
286,1077.9967
287,1009.414
288,944.5274
289,923.3099
290,912.9435
291,908.5382
292,916.3589999999999
293,949.9374
294,1049.5205
295,1215.5374
296,1308.8693
297,1383.5532
298,1425.1319
299,1408.9089999999999
300,1434.3734
301,1439.2714
302,1411.9155
303,1320.2123
304,1215.5868
305,1221.7823
306,1243.9258
307,1210.1078
308,1166.7953
309,1118.9697
310,1078.6774
311,1025.3113
312,981.1144
313,959.4843
314,940.8151
315,922.6210000000001
316,941.2428
317,949.9041
318,1053.5691
319,1214.1629
320,1310.7047
321,1392.4875
322,1419.3144
323,1407.0465
324,1439.7809
325,1442.2483
326,1400.3094
327,1323.8939
328,1213.3788
329,1237.9159
330,1259.9918
331,1222.3446
332,1187.8758
333,1179.2041
334,1053.5185
335,1000.2899
336,962.2865
337,933.3221
338,903.9817
339,900.9995
340,904.3481
341,912.508
342,927.5976
343,1075.3486
344,1116.6425
345,1121.9048
346,1149.28
347,1124.3282
348,1100.5307
349,1081.4347
350,1065.0331
351,1056.8685
352,1053.7863
353,1046.2939999999999
354,1063.8643
355,1054.0308
356,1026.6331
357,982.6391
358,928.4173
359,891.4272
360,873.3819
361,844.9238
362,831.5366
363,824.3757
364,815.4005
365,785.2751
366,784.115
367,850.1076
368,900.5203
369,947.4644
370,994.9207
371,997.6492
372,1022.2995
373,1005.4982
374,976.7352
375,950.3055
376,924.8994
377,956.6288
378,989.6201
379,937.0267
380,923.1207
381,866.1484
382,854.4974
383,921.9623
384,898.0128
385,866.318
386,850.4627
387,840.0504
388,852.0383
389,907.98
390,977.8589
391,1163.8845
392,1252.612
393,1330.4315
394,1362.5769
395,1358.9632
396,1383.8766
397,1372.4912
398,1323.3944
399,1273.2729
400,1185.6596
401,1160.0813
