date,coll_glob,point_context,point_global,coll_season,point_context_point_global
2000-01-01,0.0034910967403011467,-0.047208272492975226,0.18422106342843378,-0.011193943513372582,0.06431139352316209
2000-01-02,0.3049290220547243,0.2947693047316217,0.2613496203093063,0.15660029463738734,0.3930846003777588
2000-01-03,0.8056326848202107,0.7797484037988298,0.7259627643931532,0.7284633389138271,0.7646186686577607
2000-01-04,0.989704205617592,0.8693744278116979,0.9528852288277987,1.061369036443614,1.0349527733517263
2000-01-05,1.1576108870253756,1.3041392173890576,1.2332374922620395,1.2921713715382837,1.3613155006887327
2000-01-06,1.4803680876413081,1.4998036288410603,1.2895966851498106,1.436436372643604,1.4824376125957026
2000-01-07,1.5441516123535621,1.570168164903831,1.5805593637450082,1.4180257278959079,1.4663616827834922
2000-01-08,1.5562781954072944,1.336580611733385,1.5891273494721132,1.44404433781353,1.517195371125939
2000-01-09,1.4119794077298076,1.3401739997751951,1.3308551435189435,1.212679849102496,1.534344814517794
2000-01-10,1.2220045035179035,1.2632351301699019,1.2072136079593163,1.0438782986386346,1.1413354651703442
2000-01-11,0.8544585498137203,0.8622599973033801,0.8439474148029678,0.8703710562365108,0.929800943489517
2000-01-12,0.6646838958474145,0.513433829274965,0.6076369546231589,0.5383634021638735,0.620771115670874
2000-01-13,0.11862961500267732,0.23461793893125601,0.09987440011324755,0.2848087713934736,0.12658297306620092
2000-01-14,-0.22808305490672798,-0.14797968697198913,-0.253775755417169,-0.2977748706426455,-0.08344440526119644
2000-01-15,-0.6333836952522465,-0.5027887873047701,-0.6433460878548818,-0.49110586292215047,-0.4788841450899729
2000-01-16,-0.9004182014212699,-0.8084736381972404,-0.8597303053913103,-0.8594247402704267,-0.9566856243209684
2000-01-17,-1.0946272289778944,-0.9837856364630471,-1.320590597592669,-1.275494257457694,-1.1089105706211733
2000-01-18,-1.466411918302078,-1.3620446319685267,-1.4185741147586288,-1.435011818498578,-1.3493295032144244
2000-01-19,-1.4053097232047398,-1.4194721098405936,-1.6607469379086135,-1.4406454177189432,-1.4530864460519037
2000-01-20,-1.4970397739109151,-1.5458343425997771,-1.5457683804281568,-1.64053639268278,-1.4984642434472673
2000-01-21,-1.383693707236721,-1.3352250846217644,-1.4999236747487674,-1.46399091872693,-1.3853720349187144
2000-01-22,-1.2900875928246747,-1.3203676375677869,-1.2373334644272698,-1.427278849686902,-1.3075789967923541
2000-01-23,-1.1920121202233118,-1.0832426721007948,-0.9692178812614372,-0.9186293474421559,-1.038827513892503
2000-01-24,-0.6404846762702266,-0.6050981693529445,-0.6735655235092644,-0.9123923963143786,-0.8330507852511896
2000-01-25,-0.44953441028323876,-0.2950188904296045,-0.4473490281086694,-0.33780168398258,-0.2989628750849497
2000-01-26,-0.05482318335330894,0.15320345944042418,0.05681562934771171,0.06219560637679208,-0.005604132159492311
2000-01-27,0.29370547770541644,0.38108912746342216,0.3702439929146435,0.38466634417729895,0.4277498158994658
2000-01-28,0.7695663093371653,0.7858994363352503,0.7133734451572178,0.8088944961729576,0.8099781531290831
2000-01-29,1.0178602519049866,1.0237010817747545,1.0052111844226403,0.9968477996200652,1.0743957025210378
2000-01-30,1.2017582159747275,1.2817314250759813,1.1797566289771142,1.0707112817058335,1.1733823859170376
2000-01-31,1.4424752547944966,1.347398242399066,1.3759185295179859,1.3989650862931702,1.5956035057341516
2000-02-01,1.5079781899321465,1.537779005270242,1.4527821820195999,1.444388381060992,1.42798024773158
2000-02-02,1.5416054847917313,1.41041862626488,1.5594876825416895,1.3671955165640182,1.4759506551949868
2000-02-03,1.4017289320052586,1.4354001692042058,1.3831979542016228,1.3056853446009302,1.24441679828642
2000-02-04,1.2361238729065123,1.1207042189618504,1.1417962288981534,1.3410162316862067,1.1440832183886254
2000-02-05,0.965871783327515,0.916320247400773,0.9406313040553373,0.7981373738449555,0.8685634827829867
2000-02-06,0.4691310895290943,0.5052320540247217,0.4990382962522054,0.5365005951369429,0.5252038708880558
2000-02-07,0.19398991767427393,0.18411128276042227,0.1961213803287987,0.08543489081312805,0.284924656821669
2000-02-08,-0.254037518695563,-0.2185492876923065,-0.150640155669577,-0.10583596422260788,-0.1421611588793355
2000-02-09,-0.5294286307884315,-0.3931020915547349,-0.571913821501062,-0.5847820521992155,-0.5216519393889261
2000-02-10,-0.8543476096748803,-0.9917120864637652,-0.8099590882203653,-0.9290055232331558,-0.8081152727173608
2000-02-11,-1.152759256564602,-1.1397045560637482,-1.179315673179912,-1.1749077633966984,-1.1474432473193281
2000-02-12,-1.511131983773061,-1.478639461368728,-1.3427868365924545,-1.3426951065296053,-1.4306612002653836
2000-02-13,-1.5179963572965132,-1.457621697250517,-1.4809921733355496,-1.4010461301468946,-1.5377965243555656
2000-02-14,-1.5095440003180869,-1.4173617896971211,-1.5930537589055282,-1.6178593790526468,-1.5834040800695657
2000-02-15,-1.3134959793439525,-1.4723533791448178,-1.584971287303481,-1.44626097524826,-1.5320077553067872
2000-02-16,-1.171909211987082,-1.3352631037927318,-1.283464693982655,-1.329238198388865,-1.2106541211408983
