datetime,nat_demand,label
03-01-2015 01:00,970.345,0.0
03-01-2015 02:00,912.1755,0.0
03-01-2015 03:00,900.2688,0.0
03-01-2015 04:00,889.9538,0.0
03-01-2015 05:00,893.6865,0.0
03-01-2015 06:00,879.2323,0.0
03-01-2015 07:00,932.4876,0.0
03-01-2015 08:00,1048.972,0.0
03-01-2015 09:00,1167.9074,0.0
03-01-2015 10:00,1257.5069,0.0
03-01-2015 11:00,1254.583,0.0
03-01-2015 12:00,1216.9004,0.0
03-01-2015 13:00,1202.1556,0.0
03-01-2015 14:00,1197.2616,0.0
03-01-2015 15:00,1169.0034,0.0
03-01-2015 16:00,1136.7054,0.0
03-01-2015 17:00,1101.9447,0.0
03-01-2015 18:00,1107.0406,0.0
03-01-2015 19:00,1142.1548,0.0
03-01-2015 20:00,1097.2334,0.0
03-01-2015 21:00,1074.6544,0.0
03-01-2015 22:00,1041.3244,0.0
03-01-2015 23:00,999.6339999999999,0.0
04-01-2015 00:00,968.0526,0.0
04-01-2015 01:00,944.0556,0.0
04-01-2015 02:00,928.7193,0.0
04-01-2015 03:00,909.5566,0.0
04-01-2015 04:00,894.6543,0.0
04-01-2015 05:00,884.6659,0.0
04-01-2015 06:00,862.9888,0.0
04-01-2015 07:00,871.6873,0.0
04-01-2015 08:00,912.4966,0.0
04-01-2015 09:00,969.8017,0.0
04-01-2015 10:00,1019.3105,0.0
04-01-2015 11:00,1059.7497,0.0
04-01-2015 12:00,1069.7854,0.0
04-01-2015 13:00,1087.2858,0.0
04-01-2015 14:00,1087.1689,0.0
04-01-2015 15:00,1075.3804,0.0
04-01-2015 16:00,1056.4102,0.0
04-01-2015 17:00,1033.7229,0.0
04-01-2015 18:00,1101.5439,0.0
04-01-2015 19:00,1137.1754,0.0
04-01-2015 20:00,1133.2082,0.0
04-01-2015 21:00,1102.3695,0.0
04-01-2015 22:00,1072.5808,0.0
04-01-2015 23:00,1012.596,0.0
05-01-2015 00:00,958.6209,0.0
05-01-2015 01:00,928.5338,0.0
05-01-2015 02:00,901.5402,0.0
05-01-2015 03:00,887.7822,0.0
05-01-2015 04:00,881.0019,0.0
05-01-2015 05:00,885.4197,0.0
05-01-2015 06:00,902.0863,0.0
05-01-2015 07:00,1037.157,0.0
05-01-2015 08:00,1191.9135,0.0
05-01-2015 09:00,1319.8159,0.0
05-01-2015 10:00,1383.0651,0.0
05-01-2015 11:00,1415.1816,0.0
05-01-2015 12:00,1398.8659,0.0
05-01-2015 13:00,1430.5514,0.0
05-01-2015 14:00,1413.9896,0.0
05-01-2015 15:00,1378.7528,0.0
05-01-2015 16:00,1292.2593,0.0
05-01-2015 17:00,1178.1032,0.0
05-01-2015 18:00,1188.0149,0.0
05-01-2015 19:00,1207.7648,0.0
05-01-2015 20:00,1156.6583,0.0
05-01-2015 21:00,1114.1973,0.0
05-01-2015 22:00,1066.7578,0.0
05-01-2015 23:00,1002.3568,0.0
06-01-2015 00:00,931.5394,0.0
06-01-2015 01:00,914.6895,0.0
06-01-2015 02:00,890.8448,0.0
06-01-2015 03:00,869.0447,0.0
06-01-2015 04:00,852.4821,0.0
